Nitrogen,Phosphorus,Potassium,pH,Moisture,Area,PlantType,MineralContent
80,45,60,6.5,20,Punjab,Wheat,High
30,20,15,5.5,10,Bihar,Rice,Low
50,30,40,6.0,18,Karnataka,Sugarcane,Medium
70,50,65,6.8,22,UP,Maize,High
20,15,10,5.2,8,Assam,Rice,Low
60,35,45,6.4,19,Haryana,Barley,Medium
55,25,35,6.1,17,Gujarat,Cotton,Medium
90,60,70,6.9,25,Punjab,Wheat,High
25,18,12,5.3,9,Bihar,Rice,Low
65,40,50,6.3,20,Karnataka,Maize,Medium
85,55,68,7.0,23,UP,Wheat,High
35,22,18,5.6,12,Haryana,Rice,Low
58,33,44,6.2,18,Gujarat,Cotton,Medium
45,28,30,6.0,15,TamilNadu,Millet,Medium
75,48,55,6.7,21,UP,Barley,High
28,17,14,5.4,10,Assam,Rice,Low
68,39,49,6.5,19,Karnataka,Maize,Medium
92,62,72,7.1,26,Punjab,Wheat,High
22,14,11,5.1,7,Bihar,Rice,Low
70,44,53,6.6,20,UP,Cotton,Medium
